LAB AB ENCEPHALITIS EQUINE EASTERN,3077807,CDM,302,RC,86652,CPT,,,facility,outpatient,,,65.00000,12.35000,Banner University Health Plan,AZ Medicaid - AHCCCS,,13.19,,,,,,,13.19,60.41,fee schedule,
LAB AB ENCEPHALITIS EQUINE EASTERN,3077807,CDM,302,RC,86652,CPT,,,facility,outpatient,,,65.00000,12.35000,TriWest Healthcare Alliance Corp - VA CCN,VA Community Care Network,,13.19,,,,,,,13.19,60.41,fee schedule,Services not payable under Medicare will be paid at the VA Fee Schedule.
LAB AB ENCEPHALITIS EQUINE WEST NS,3077823,CDM,302,RC,86654,CPT,,,facility,outpatient,,,65.00000,12.35000,Blue Cross Blue Shield of Arizona,Commercial,,60.41,,,,,,,13.19,60.41,fee schedule,Reimbursement is lesser of 100% of BC or the BCBSAZ Fee Schedule.
LAB AB ENCEPHALITIS SAINT LOUIS NS,3077815,CDM,302,RC,86653,CPT,,,facility,outpatient,,,65.00000,12.35000,Banner University Health Plan,University Care Advantage,,13.19,,,,,,,13.19,60.41,fee schedule,
LAB AB FL TITER ANTIMYOCARDIAL,3112034,CDM,302,RC,86256,CPT,,,facility,outpatient,,,37.00000,7.03000,Care 1st,Medicare Advantage,,12.05,,,,,,,12.05,77.56,fee schedule,
LAB AB FL TITER AQUAPORIN 4,3029360,CDM,302,RC,86256,CPT,,,facility,outpatient,,,219.00000,41.61000,"Cigna Healthcare of Arizona, Inc.",LocalFlex,,21.14,,,,,,,12.05,164.25,fee schedule,
LAB AB FL TITER AQUAPORIN 4,3029360,CDM,302,RC,86256,CPT,,,facility,outpatient,,,219.00000,41.61000,Carelon,Medicare Advantage,,12.65,,,,,,,12.05,164.25,fee schedule,
LAB AB FL TITER AQUAPORIN 4,3029360,CDM,302,RC,86256,CPT,,,facility,outpatient,,,219.00000,41.61000,Wellpoint,Medicare Advantage HMO,,12.05,,,,,,,12.05,164.25,fee schedule,
LAB AB FL TITER AQUAPORIN 4,3029360,CDM,302,RC,86256,CPT,,,facility,outpatient,,,219.00000,41.61000,Wellpoint,Medicare Advantage HMO,,12.05,,,,,,,12.05,164.25,fee schedule,
LAB AB FL TITER ENCEPHALITIS,3122512,CDM,302,RC,86256,CPT,,,facility,outpatient,,,194.00000,36.86000,"Cigna Healthcare of Arizona, Inc.",HMO Medicare Advantage Plan,,12.05,,,,,,,12.05,145.50,fee schedule,
LAB AB FL TITER ENDOMYSIAL,3121258,CDM,302,RC,86256,CPT,,,facility,outpatient,,,103.00000,19.57000,Mercy Care,Mercy Care Advantage,,12.05,,,,,,,12.05,77.56,fee schedule,
LAB AB FL TITER ENDOMYSIAL,3121258,CDM,302,RC,86256,CPT,,,facility,outpatient,,,103.00000,19.57000,Plotkin Health,Plotkin Health,,46.35,,,,,,,12.05,77.56,percent of total billed charges,
LAB AB FL TITER HU,3078011,CDM,302,RC,86256,CPT,,,facility,outpatient,,,55.00000,10.45000,Aetna,Joint Venture,,40.46,,,,,,,12.05,77.56,fee schedule,
LAB AB FL TITER HU,3078011,CDM,302,RC,86256,CPT,,,facility,outpatient,,,55.00000,10.45000,Blue Cross Blue Shield of Arizona,BXBSAZ Neighborhood,,58.17,,,,,,,12.05,77.56,fee schedule,Reimbursement is lesser of 100% of BC or the BCBSAZ Fee Schedule.
LAB AB FL TITER MITOCHONDRIA,3078029,CDM,302,RC,86256,CPT,,,facility,outpatient,,,72.00000,13.68000,United Healthcare,Medicare Advantage,,12.05,,,,,,,12.05,77.56,fee schedule,
LAB AB FL TITER MOG,3079969,CDM,302,RC,86256,CPT,,,facility,outpatient,,,837.00000,159.03000,Arizona Medical Network,Commercial,,585.90,,,,,,,12.05,627.75,percent of total billed charges,
LAB AB FL TITER MUSCLE SMOOTH,3078060,CDM,302,RC,86256,CPT,,,facility,outpatient,,,72.00000,13.68000,Aetna,Joint Venture,,40.46,,,,,,,12.05,77.56,fee schedule,
LAB AB FL TITER MUSCLE SMOOTH,3078060,CDM,302,RC,86256,CPT,,,facility,outpatient,,,72.00000,13.68000,United Healthcare,Commercial,,27.12,,,,,,,12.05,77.56,fee schedule,"Unless otherwise indicated in the Facility Fee Schedule Specifications, Laboratory/Pathology Codes not yet listed on the fee schedule or listed on the fee schedule that do not have a Primary or Gap Fill Source Fee will default to a contract rate of 50% PPR."
LAB AB FL TITER MUSCLE SMOOTH,3078060,CDM,302,RC,86256,CPT,,,facility,outpatient,,,72.00000,13.68000,United Healthcare,Individual Exchange,,16.87,,,,,,,12.05,77.56,fee schedule,
LAB AB FL TITER NMDA,3029527,CDM,302,RC,86256,CPT,,,facility,outpatient,,,194.00000,36.86000,Arizona Priority Care,Alignment Health Plans Medicare Advantage/Eternal Health Plan Medicare/SCAN Health Plan Medicare,,13.26,,,,,,,12.05,145.50,fee schedule,
LAB AB FL TITER PARIETAL,3078045,CDM,302,RC,86256,CPT,,,facility,inpatient,,,72.00000,13.68000,Quiktrip Corporation,Commercial,,38.88,,,,,,,32.40,54.00,percent of total billed charges,
LAB AB FL TITER PARIETAL,3078045,CDM,302,RC,86256,CPT,,,facility,outpatient,,,72.00000,13.68000,Blue Cross Blue Shield of Arizona,Medicare Advantage,,12.05,,,,,,,12.05,77.56,fee schedule,
LAB AB FL TITER PARIETAL,3078045,CDM,302,RC,86256,CPT,,,facility,outpatient,,,72.00000,13.68000,Blue Cross Blue Shield of Arizona,Medicare Advantage,,12.05,,,,,,,12.05,77.56,fee schedule,
LAB AB FL TITER PHOSPHOLPS A2 RECPT,3029139,CDM,302,RC,86256,CPT,,,facility,outpatient,,,285.00000,54.15000,Aetna,Designated Group,,42.99,,,,,,,12.05,213.75,fee schedule,
LAB AB FL TITER PHOSPHOLPS A2 RECPT,3029139,CDM,302,RC,86256,CPT,,,facility,outpatient,,,285.00000,54.15000,Blue Cross Blue Shield of Arizona,BCBSAZ Alliance/Blue HPN,,62.05,,,,,,,12.05,213.75,fee schedule,Reimbursement is lesser of 100% of BC or the BCBSAZ Fee Schedule.
LAB AB FL TITER PHOSPHOLPS A2 RECPT,3029139,CDM,302,RC,86256,CPT,,,facility,outpatient,,,285.00000,54.15000,Humana,Medicare Advantage,,12.41,,,,,,,12.05,213.75,fee schedule,
LAB AB FL TITER PURKINJE,3078052,CDM,302,RC,86256,CPT,,,facility,outpatient,,,190.00000,36.10000,Blue Cross Blue Shield of Arizona,BCBSAZ Alliance/Blue HPN,,62.05,,,,,,,12.05,142.50,fee schedule,Reimbursement is lesser of 100% of BC or the BCBSAZ Fee Schedule.
LAB AB FL TITER PURKINJE,3078052,CDM,302,RC,86256,CPT,,,facility,outpatient,,,190.00000,36.10000,National Healthcare Solutions Inc (NHSI) and VIP Universal Medical Insurance Group (VUMI),NHSI VUMI,,85.50,,,,,,,12.05,142.50,percent of total billed charges,
LAB AB FL TITER,3077989,CDM,302,RC,86256,CPT,,,facility,inpatient,,,37.00000,7.03000,Aetna,Medical Rental,,19.50,,,,,,,16.65,27.75,percent of total billed charges,
LAB AB FL TITER,3077989,CDM,302,RC,86256,CPT,,,facility,outpatient,,,37.00000,7.03000,NaphCare,Federal,,16.27,,,,,,,12.05,77.56,fee schedule,
LAB AB FL TITER,3077989,CDM,302,RC,86256,CPT,,,facility,outpatient,,,37.00000,7.03000,Provider Network of America,Commercial,,27.75,,,,,,,12.05,77.56,percent of total billed charges,
LAB AB FL TITER,3077989,CDM,302,RC,86256,CPT,,,facility,outpatient,,,37.00000,7.03000,United Healthcare,Individual Exchange,,16.87,,,,,,,12.05,77.56,fee schedule,
LAB AB FRANCISELLA TULARENSIS,3078094,CDM,302,RC,86668,CPT,,,facility,outpatient,,,100.00000,19.00000,Humana,Medicare Advantage,,14.58,,,,,,,14.16,75.00,fee schedule,
LAB AB FRANCISELLA TULARENSIS,3078094,CDM,302,RC,86668,CPT,,,facility,outpatient,,,100.00000,19.00000,Mercy Care,Medicaid,,14.16,,,,,,,14.16,75.00,fee schedule,
LAB AB FRANCISELLA TULARENSIS,3078094,CDM,302,RC,86668,CPT,,,facility,outpatient,,,100.00000,19.00000,NaphCare,Federal,,19.12,,,,,,,14.16,75.00,fee schedule,
LAB AB FUNGUS NOT SPECIFIED,3078110,CDM,302,RC,86671,CPT,,,facility,outpatient,,,55.00000,10.45000,Banner University Health Plan,University Care Advantage,,12.25,,,,,,,12.25,56.12,fee schedule,
LAB AB GIARDIA LAMBLIA,3078128,CDM,302,RC,86674,CPT,,,facility,outpatient,,,67.00000,12.73000,Aetna,Joint Venture,,49.43,,,,,,,14.72,67.47,fee schedule,
LAB AB GIARDIA LAMBLIA,3078128,CDM,302,RC,86674,CPT,,,facility,outpatient,,,67.00000,12.73000,Mercy Care,Medicaid,,14.72,,,,,,,14.72,67.47,fee schedule,
LAB AB GIARDIA LAMBLIA,3078128,CDM,302,RC,86674,CPT,,,facility,outpatient,,,67.00000,12.73000,Oscar Health Plan,Commercial,,24.29,,,,,,,14.72,67.47,fee schedule,
LAB AB HAEMOPHILUS INFLUENZA IGG,3078169,CDM,302,RC,86684,CPT,,,facility,outpatient,,,62.00000,11.78000,Aetna,Medicare Advantage,,15.84,,,,,,,15.84,72.58,fee schedule,
LAB AB HAEMOPHILUS INFLUENZA IGG,3078169,CDM,302,RC,86684,CPT,,,facility,outpatient,,,62.00000,11.78000,Humana,Medicare Advantage,,16.32,,,,,,,15.84,72.58,fee schedule,
LAB AB HAEMOPHILUS INFLUENZA IGG,3078169,CDM,302,RC,86684,CPT,,,facility,outpatient,,,62.00000,11.78000,Provider Network of America,Commercial,,46.50,,,,,,,15.84,72.58,percent of total billed charges,
LAB AB HAEMOPHILUS INFLUENZA IGG,3078169,CDM,302,RC,86684,CPT,,,facility,outpatient,,,62.00000,11.78000,United Healthcare,UHC Doctor's Plan,,29.29,,,,,,,15.84,72.58,fee schedule,"Unless otherwise indicated in the Facility Fee Schedule Specifications, Laboratory/Pathology Codes not yet listed on the fee schedule or listed on the fee schedule that do not have a Primary or Gap Fill Source Fee will default to a contract rate of 50% PPR."
LAB AB HELICOBACTER PYLORI,3078136,CDM,302,RC,86677,CPT,,,facility,outpatient,,,78.00000,14.82000,Aetna,Designated Group,,60.12,,,,,,,16.85,77.19,fee schedule,
LAB AB HELICOBACTER PYLORI,3078136,CDM,302,RC,86677,CPT,,,facility,outpatient,,,78.00000,14.82000,Blue Cross Blue Shield of Arizona,BXBSAZ Neighborhood,,57.89,,,,,,,16.85,77.19,fee schedule,Reimbursement is lesser of 100% of BC or the BCBSAZ Fee Schedule.
LAB AB HELICOBACTER PYLORI,3078136,CDM,302,RC,86677,CPT,,,facility,outpatient,,,78.00000,14.82000,TriWest Healthcare Alliance Corp - VA CCN,VA Community Care Network,,16.85,,,,,,,16.85,77.19,fee schedule,Services not payable under Medicare will be paid at the VA Fee Schedule.
LAB AB HELMINTH NONSPECIFIED,3078144,CDM,302,RC,86682,CPT,,,facility,outpatient,,,64.00000,12.16000,Health Net,Commerical Exchange Product,,19.25,,,,,,,13.01,59.59,fee schedule,
LAB AB HELMINTH NONSPECIFIED,3078144,CDM,302,RC,86682,CPT,,,facility,outpatient,,,64.00000,12.16000,Health Net,Commerical Exchange Product,,19.25,,,,,,,13.01,59.59,fee schedule,
LAB AB HELMINTH NONSPECIFIED,3078144,CDM,302,RC,86682,CPT,,,facility,outpatient,,,64.00000,12.16000,National Healthcare Solutions Inc (NHSI) and VIP Universal Medical Insurance Group (VUMI),NHSI VUMI,,28.80,,,,,,,13.01,59.59,percent of total billed charges,
LAB AB HEPATITIS A IGM,3078185,CDM,302,RC,86709,CPT,,,facility,inpatient,,,168.00000,31.92000,Plotkin Health,Plotkin Health,,75.60,,,,,,,75.60,126.00,percent of total billed charges,
LAB AB HEPATITIS A NS,3118833,CDM,302,RC,86708,CPT,,,facility,outpatient,,,57.00000,10.83000,Blue Cross Blue Shield of Arizona,BCBSAZ Workers Comp,,56.75,,,,,,,12.39,56.75,fee schedule,Reimbursement is lesser of 100% of BC or the BCBSAZ Fee Schedule.
LAB AB HEPATITIS A NS,3118833,CDM,302,RC,86708,CPT,,,facility,outpatient,,,57.00000,10.83000,Mercy Care,Mercy Care Advantage,,12.39,,,,,,,12.39,56.75,fee schedule,
LAB AB HEPATITIS A NS,3118833,CDM,302,RC,86708,CPT,,,facility,outpatient,,,57.00000,10.83000,United Healthcare,UHC Doctor's Plan,,22.92,,,,,,,12.39,56.75,fee schedule,"Unless otherwise indicated in the Facility Fee Schedule Specifications, Laboratory/Pathology Codes not yet listed on the fee schedule or listed on the fee schedule that do not have a Primary or Gap Fill Source Fee will default to a contract rate of 50% PPR."
LAB AB HEPATITIS B CORE TOTAL,3078219,CDM,302,RC,86704,CPT,,,facility,inpatient,,,55.00000,10.45000,Quiktrip Corporation,Commercial,,29.70,,,,,,,24.75,41.25,percent of total billed charges,
LAB AB HEPATITIS B CORE TOTAL,3078219,CDM,302,RC,86704,CPT,,,facility,outpatient,,,55.00000,10.45000,Banner University Health Plan,AZ Medicaid - AHCCCS,,12.05,,,,,,,12.05,55.24,fee schedule,
LAB AB HEPATITIS B CORE TOTAL,3078219,CDM,302,RC,86704,CPT,,,facility,outpatient,,,55.00000,10.45000,UPMC Health Plan,Medicare Advantage,,12.05,,,,,,,12.05,55.24,fee schedule,
LAB AB HEPATITIS B SURFACE,3078227,CDM,302,RC,86706,CPT,,,facility,inpatient,,,55.00000,10.45000,Provider Network of America,Commercial,,41.25,,,,,,,24.75,41.25,percent of total billed charges,
LAB AB HEPATITIS B SURFACE,3078227,CDM,302,RC,86706,CPT,,,facility,outpatient,,,55.00000,10.45000,United Healthcare,UHC Core,,21.96,,,,,,,10.74,49.19,fee schedule,"Unless otherwise indicated in the Facility Fee Schedule Specifications, Laboratory/Pathology Codes not yet listed on the fee schedule or listed on the fee schedule that do not have a Primary or Gap Fill Source Fee will default to a contract rate of 50% PPR."
LAB AB HEPATITIS C NS,3022746,CDM,302,RC,86803,CPT,,,facility,outpatient,,,255.00000,48.45000,Mercy Care,Medicaid,,14.27,,,,,,,14.27,191.25,fee schedule,
LAB AB HEPATITIS C,3078243,CDM,302,RC,86803,CPT,,,facility,inpatient,,,185.00000,35.15000,Quiktrip Corporation,Commercial,,99.90,,,,,,,83.25,138.75,percent of total billed charges,
LAB AB HEPATITIS C,3078243,CDM,302,RC,86803,CPT,,,facility,outpatient,,,185.00000,35.15000,"Cigna Healthcare of Arizona, Inc.",Commercial,,27.84,,,,,,,14.27,138.75,fee schedule,
LAB AB HEPATITIS DELTA AGENT,3078268,CDM,302,RC,86692,CPT,,,facility,outpatient,,,85.00000,16.15000,"Cigna Healthcare of Arizona, Inc.",PPO Medicare Advantage Plan,,17.16,,,,,,,17.16,78.64,fee schedule,
LAB AB HEPATITIS DELTA AGENT,3078268,CDM,302,RC,86692,CPT,,,facility,outpatient,,,85.00000,16.15000,Aetna,Banner Employee Plans,,28.56,,,,,,,17.16,78.64,percent of total billed charges,
LAB AB HEPATITIS DELTA AGENT,3078268,CDM,302,RC,86692,CPT,,,facility,outpatient,,,85.00000,16.15000,Mercy Care,Medicaid,,17.16,,,,,,,17.16,78.64,fee schedule,
LAB AB HERPES SIMPLEX NONSPECIFIC,3078276,CDM,302,RC,86694,CPT,,,facility,inpatient,,,44.00000,8.36000,Plotkin Health,Plotkin Health,,19.80,,,,,,,19.80,33.00,percent of total billed charges,
LAB AB HERPES SIMPLEX NONSPECIFIC,3078276,CDM,302,RC,86694,CPT,,,facility,outpatient,,,44.00000,8.36000,Aetna,Medical Rental,,23.19,,,,,,,14.39,65.90,percent of total billed charges,"Multiple procedure processing -  Primary, Secondary, and Subsequent procedures reimbursed at 100% of contract rate."
LAB AB HERPES SIMPLEX NONSPECIFIC,3078276,CDM,302,RC,86694,CPT,,,facility,outpatient,,,44.00000,8.36000,United Healthcare,Commercial,,32.38,,,,,,,14.39,65.90,fee schedule,"Unless otherwise indicated in the Facility Fee Schedule Specifications, Laboratory/Pathology Codes not yet listed on the fee schedule or listed on the fee schedule that do not have a Primary or Gap Fill Source Fee will default to a contract rate of 50% PPR."
LAB AB HERPES SIMPLEX TYPE 1 NS,3109444,CDM,302,RC,86695,CPT,,,facility,outpatient,,,53.00000,10.07000,Wellpoint,Medicare Advantage HMO,,13.19,,,,,,,13.19,78.51,fee schedule,
LAB AB HERPES SIMPLEX TYPE 1 NS,3109444,CDM,302,RC,86695,CPT,,,facility,outpatient,,,53.00000,10.07000,Wellpoint,Medicare Advantage HMO,,13.19,,,,,,,13.19,78.51,fee schedule,
LAB AB HERPES SIMPLEX TYPE 1,3078284,CDM,302,RC,86695,CPT,,,facility,inpatient,,,40.00000,7.60000,Provider Network of America,Commercial,,30.00,,,,,,,18.00,30.00,percent of total billed charges,
LAB AB HERPES SIMPLEX TYPE 1,3078284,CDM,302,RC,86695,CPT,,,facility,outpatient,,,40.00000,7.60000,Aetna,Joint Venture,,44.29,,,,,,,13.19,78.51,fee schedule,
LAB AB HERPES SIMPLEX TYPE 1,3078284,CDM,302,RC,86695,CPT,,,facility,outpatient,,,40.00000,7.60000,Banner University Health Plan,University Family Plan,,13.19,,,,,,,13.19,78.51,fee schedule,
LAB AB HERPES SIMPLEX TYPE 1,3078284,CDM,302,RC,86695,CPT,,,facility,outpatient,,,40.00000,7.60000,Devoted Health Services,Medicare Advantage,,13.85,,,,,,,13.19,78.51,fee schedule,
LAB AB HERPES SIMPLEX TYPE 2 NS,3110830,CDM,302,RC,86696,CPT,,,facility,outpatient,,,59.00000,11.21000,Gila River Health Care Corporation,Managed Care Program,,19.35,,,,,,,19.35,115.34,fee schedule,
LAB AB HERPES SIMPLEX TYPE 2,3078292,CDM,302,RC,86696,CPT,,,facility,outpatient,,,59.00000,11.21000,Arizona Priority Care,Alignment Health Plans Medicare Advantage/Eternal Health Plan Medicare/SCAN Health Plan Medicare,,21.29,,,,,,,19.35,115.34,fee schedule,
LAB AB HERPES SIMPLEX TYPE 2,3078292,CDM,302,RC,86696,CPT,,,facility,outpatient,,,59.00000,11.21000,Banner University Health Plan,Medicare Advantage,,19.35,,,,,,,19.35,115.34,fee schedule,
LAB AB HERPES SIMPLEX TYPE 2,3078292,CDM,302,RC,86696,CPT,,,facility,outpatient,,,59.00000,11.21000,United Healthcare,Individual Exchange,,27.09,,,,,,,19.35,115.34,fee schedule,
LAB AB HISTOPLASMA COMP FIXATION,3026051,CDM,302,RC,86698,CPT,,,facility,outpatient,,,63.00000,11.97000,Banner University Health Plan,AZ Medicaid - AHCCCS,,13.79,,,,,,,13.79,63.19,fee schedule,
LAB AB HISTOPLASMA IMMUNODIFFUSION,3078326,CDM,302,RC,86698,CPT,,,facility,outpatient,,,68.00000,12.92000,Arizona Physicians IPA,Medicare Advantage,,13.79,,,,,,,13.79,63.19,fee schedule,
LAB AB HISTOPLASMA IMMUNODIFFUSION,3078326,CDM,302,RC,86698,CPT,,,facility,outpatient,,,68.00000,12.92000,Banner Health,Medicare Advantage,,13.79,,,,,,,13.79,63.19,fee schedule,
LAB AB HISTOPLASMA IMMUNODIFFUSION,3078326,CDM,302,RC,86698,CPT,,,facility,outpatient,,,68.00000,12.92000,Banner Health,Medicare Advantage,,13.79,,,,,,,13.79,63.19,fee schedule,
LAB AB HISTOPLASMA IMMUNODIFFUSION,3078326,CDM,302,RC,86698,CPT,,,facility,outpatient,,,68.00000,12.92000,NaphCare,Federal,,18.62,,,,,,,13.79,63.19,fee schedule,
LAB AB HISTOPLASMA IMMUNODIFFUSION,3078326,CDM,302,RC,86698,CPT,,,facility,outpatient,,,68.00000,12.92000,National Healthcare Solutions Inc (NHSI) and VIP Universal Medical Insurance Group (VUMI),NHSI VUMI,,30.60,,,,,,,13.79,63.19,percent of total billed charges,
LAB AB HISTOPLASMA IMMUNODIFFUSION,3078326,CDM,302,RC,86698,CPT,,,facility,outpatient,,,68.00000,12.92000,UPMC Health Plan,Medicare Advantage,,13.79,,,,,,,13.79,63.19,fee schedule,
LAB AB HIV-1&HIV-2 RESULT SGL,3078342,CDM,302,RC,86703,CPT,,,facility,inpatient,,,42.00000,7.98000,National Healthcare Solutions Inc (NHSI) and VIP Universal Medical Insurance Group (VUMI),NHSI VUMI,,18.90,,,,,,,18.90,31.50,percent of total billed charges,
LAB AB HIV-1&HIV-2 RESULT SGL,3078342,CDM,302,RC,86703,CPT,,,facility,outpatient,,,42.00000,7.98000,"Cigna Healthcare of Arizona, Inc.",HMO Medicare Advantage Plan,,13.71,,,,,,,13.71,62.81,fee schedule,
LAB AB HIV-1&HIV-2 RESULT SGL,3078342,CDM,302,RC,86703,CPT,,,facility,outpatient,,,42.00000,7.98000,"Health Choice Arizona, Inc.",Medicaid,,13.71,,,,,,,13.71,62.81,fee schedule,
LAB AB HIV-1&HIV-2 RESULT SGL,3078342,CDM,302,RC,86703,CPT,,,facility,outpatient,,,42.00000,7.98000,Banner University Health Plan,University Family Plan,,13.71,,,,,,,13.71,62.81,fee schedule,
LAB AB HIV-1&HIV-2 RESULT SGL,3078342,CDM,302,RC,86703,CPT,,,facility,outpatient,,,42.00000,7.98000,Kaiser Foundation Health Plan,Medicare Advantage,,13.71,,,,,,,13.71,62.81,fee schedule,
LAB AB HIV-1&HIV-2 RESULT SGL,3078342,CDM,302,RC,86703,CPT,,,facility,outpatient,,,42.00000,7.98000,Kaiser Foundation Health Plan,Medicare Advantage,,13.71,,,,,,,13.71,62.81,fee schedule,
LAB AB HIV-1,3078334,CDM,302,RC,86701,CPT,,,facility,outpatient,,,76.00000,14.44000,United Healthcare,UHC Core,,18.18,,,,,,,8.89,57.00,fee schedule,"Unless otherwise indicated in the Facility Fee Schedule Specifications, Laboratory/Pathology Codes not yet listed on the fee schedule or listed on the fee schedule that do not have a Primary or Gap Fill Source Fee will default to a contract rate of 50% PPR."
LAB AB HIV-2,3078359,CDM,302,RC,86702,CPT,,,facility,inpatient,,,88.00000,16.72000,Provider Network of America,Commercial,,66.00,,,,,,,39.60,66.00,percent of total billed charges,
LAB AB HIV-2,3078359,CDM,302,RC,86702,CPT,,,facility,outpatient,,,88.00000,16.72000,"Cigna Healthcare of Arizona, Inc.",PPO Medicare Advantage Plan,,13.52,,,,,,,13.52,66.00,fee schedule,
LAB AB HIV-2,3078359,CDM,302,RC,86702,CPT,,,facility,outpatient,,,88.00000,16.72000,Gold Kidney Health Plan,Medicare Advantage,,14.87,,,,,,,13.52,66.00,fee schedule,
LAB AB HTLV-I,3078425,CDM,302,RC,86687,CPT,,,facility,outpatient,,,28.00000,5.32000,"Cigna Healthcare of Arizona, Inc.",Commercial,,17.73,,,,,,,9.09,41.62,fee schedule,
LAB AB HTLV/HIV CONFIRM DONOR NS,3123247,CDM,302,RC,86689,CPT,,,facility,outpatient,,,503.00000,95.57000,Aetna,Qualified Health Plan,,26.32,,,,,,,19.35,377.25,fee schedule,
LAB AB HTLV/HIV CONFIRM DONOR NS,3123247,CDM,302,RC,86689,CPT,,,facility,outpatient,,,503.00000,95.57000,Banner Health,Medicare Advantage,,19.35,,,,,,,19.35,377.25,fee schedule,
LAB AB HTLV/HIV CONFIRM DONOR NS,3123247,CDM,302,RC,86689,CPT,,,facility,outpatient,,,503.00000,95.57000,Banner Health,Medicare Advantage,,19.35,,,,,,,19.35,377.25,fee schedule,
LAB AB HTLV/HIV CONFIRM DONOR NS,3123247,CDM,302,RC,86689,CPT,,,facility,outpatient,,,503.00000,95.57000,UPMC Health Plan,Medicare Advantage,,19.35,,,,,,,19.35,377.25,fee schedule,
LAB AB HTLV/HIV CONFIRM SRM/PLASMA,3125309,CDM,302,RC,86689,CPT,,,facility,outpatient,,,472.00000,89.68000,"Cigna Healthcare of Arizona, Inc.",PPO Medicare Advantage Plan,,19.35,,,,,,,19.35,354.00,fee schedule,
LAB AB HTLV/HIV CONFIRM SRM/PLASMA,3125309,CDM,302,RC,86689,CPT,,,facility,outpatient,,,472.00000,89.68000,Aetna,Medical Rental,,248.74,,,,,,,19.35,354.00,percent of total billed charges,"Multiple procedure processing -  Primary, Secondary, and Subsequent procedures reimbursed at 100% of contract rate."
LAB AB HTLV/HIV CONFIRM SRM/PLASMA,3125309,CDM,302,RC,86689,CPT,,,facility,outpatient,,,472.00000,89.68000,United Healthcare,UHC Doctor's Plan,,35.80,,,,,,,19.35,354.00,fee schedule,"Unless otherwise indicated in the Facility Fee Schedule Specifications, Laboratory/Pathology Codes not yet listed on the fee schedule or listed on the fee schedule that do not have a Primary or Gap Fill Source Fee will default to a contract rate of 50% PPR."
